"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-01-24","37","43","31"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-01-25","38","44","35"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-01-26","43","47","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-01-27","44","54","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-01-28","45","52","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-01-29","43","48","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-01-30","44","45","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-01-31","41","44","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-01","36","43","29"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-02","38","44","32"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-03","37","40","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-04","41","46","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-05","39","41","33"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-06","33","37","30"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-07","35","38","30"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-08","36","40","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-09","44","56","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-10","47","48","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-11","41","49","38"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-12","41","51","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-13","42","57","35"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-14","45","58","36"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-15","49","54","45"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-16","51","53","46"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-17","48","56","42"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-18","44","45","42"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-19","44","47","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-20","43","45","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-21","43","48","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-22","41","46","35"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-23","38","44","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-24","37","47","32"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-25","39","44","32"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-26","39","41","35"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-27","38","41","33"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-02-28","37","47","33"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-01","44","49","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-02","44","47","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-03","47","51","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-04","41","46","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-05","40","45","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-06","38","43","35"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-07","37","42","35"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-08","41","43","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-09","39","49","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-10","48","52","44"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-11","45","53","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2017-03-12","48","53","45"
